,A,,B,,C,,D
300.2261192,88.91327888,300.2261192,104.7842958,300.2261192,327.88259,300.2261192,364.7154676
300.5980119,90.58792135,300.5980119,104.7897544,300.5980119,330.5173,300.5980119,362.1171132
300.9698747,102.2852796,300.9698747,118.8717397,300.9698747,332.92318,300.9698747,366.6659497
301.3417076,97.51347449,301.3417076,120.7792757,301.3417076,331.49354,301.3417076,370.4707939
301.7135106,92.97705788,301.7135106,103.8394755,301.7135106,330.52941,301.7135106,366.1749323
302.0852836,103.2413111,302.0852836,112.1949201,302.0852836,331.73884,302.0852836,369.0514223
302.4570267,111.1176742,302.4570267,114.8231003,302.4570267,339.60523,302.4570267,372.6337665
302.8287398,110.4083306,302.8287398,121.2704536,302.8287398,348.9063,302.8287398,379.5544565
303.2004229,106.3467947,303.2004229,115.7775519,303.2004229,345.79381,303.2004229,377.6308507
303.572076,110.4053107,303.572076,130.5694939,303.572076,345.08913,303.572076,378.830542
303.9436991,121.1408241,303.9436991,128.6623497,303.9436991,345.09167,303.9436991,387.1598974
304.3152921,120.4207283,304.3152921,120.5479434,304.3152921,344.12707,304.3152921,385.2426522
304.6868551,118.2727741,304.6868551,127.9407617,304.6868551,345.78958,304.6868551,394.5160332
305.058388,117.5539666,305.058388,114.8188226,305.058388,351.25354,305.058388,393.7918903
305.4298908,129.2461978,305.4298908,114.8233856,305.4298908,357.21633,305.4298908,400.9430442
305.8013635,134.2583857,305.8013635,120.7900713,305.8013635,363.88864,305.8013635,397.3858488
306.172806,125.4293837,306.172806,124.6025266,306.172806,367.44611,306.172806,391.6644831
306.5442185,124.4716098,306.5442185,124.8373257,306.5442185,368.62497,306.5442185,384.7546859
306.9156007,132.8148472,306.9156007,127.4567891,306.9156007,371.70611,306.9156007,389.262027
307.2869528,133.0562984,307.2869528,134.6144032,307.2869528,382.1818,307.2869528,390.4598965
307.6582747,125.4219145,307.6582747,130.3190198,307.6582747,378.60606,307.6582747,388.5493775
308.0295663,125.1784464,308.0295663,130.3138515,308.0295663,374.78514,308.0295663,383.3012448
