,A,,B,,C,,D
300.2261192,236.2131609,300.2261192,828.22283,300.2261192,241.0411705,300.2261192,898.8766418
300.5980119,246.2267904,300.5980119,832.98736,300.5980119,249.6252496,300.5980119,907.4272663
300.9698747,248.6076774,300.9698747,839.85185,300.9698747,254.6261895,300.9698747,908.3697322
301.3417076,249.0785779,301.3417076,829.41297,301.3417076,253.4296134,301.3417076,903.3801643
301.7135106,247.4160269,301.7135106,833.2183,301.7135106,254.3873715,301.7135106,913.1011293
302.0852836,258.3813009,302.0852836,843.19138,302.0852836,259.8739487,302.0852836,915.9691393
302.4570267,250.523174,302.4570267,841.06781,302.4570267,263.2110937,302.4570267,916.2144282
302.8287398,255.3105382,302.8287398,846.82588,302.8287398,262.2822365,302.8287398,934.2813413
303.2004229,252.9201989,303.2004229,841.35238,303.2004229,258.939031,303.2004229,921.9464714
303.572076,255.0742012,303.572076,852.04244,303.572076,260.8549257,303.572076,931.9213597
303.9436991,251.5094581,303.9436991,851.36011,303.9436991,264.198911,303.9436991,938.1052263
304.3152921,259.1532946,304.3152921,874.16103,304.3152921,262.5521319,304.3152921,953.0850746
304.6868551,243.6688575,304.6868551,894.29663,304.6868551,256.8369285,304.6868551,945.0479973
305.058388,235.324045,305.058388,903.0397,305.058388,256.355372,305.058388,951.4196467
305.4298908,233.8936818,305.4298908,911.32334,305.4298908,252.781011,305.4298908,955.6768169
305.8013635,240.3269432,305.8013635,904.21916,305.8013635,248.2534888,305.8013635,955.9111979
306.172806,239.1272589,306.172806,889.27394,306.172806,246.5771142,306.172806,946.6511299
306.5442185,242.93303,306.5442185,885.69936,306.5442185,242.2817791,306.5442185,940.0006496
306.9156007,241.7375407,306.9156007,886.39503,306.9156007,250.1398379,306.9156007,933.5955339
307.2869528,245.3386222,307.2869528,895.25005,307.2869528,264.2243031,307.2869528,946.9479256
307.6582747,247.2320132,307.6582747,896.15269,307.6582747,265.4017189,307.6582747,942.4048088
308.0295663,249.1319395,308.0295663,898.49902,308.0295663,257.772121,308.0295663,930.549564
308.4008278,243.1521109,308.4008278,887.52651,308.4008278,253.2213199,308.4008278,920.5242553
308.772059,252.4313322,308.772059,867.36203,308.772059,249.8745197,308.772059,919.2997852
309.1432599,259.8091548,309.1432599,851.47621,309.1432599,242.7218221,309.1432599,899.633294
309.5144305,257.8979451,309.5144305,842.93265,309.5144305,244.860419,309.5144305,894.8800898
309.8855709,252.180717,309.8855709,843.40431,309.8855709,247.9565762,309.8855709,883.2784518
310.2566809,247.4160269,310.2566809,840.7972,310.2566809,241.2859179,310.2566809,890.1415376
310.6277605,254.5589171,310.6277605,838.65578,310.6277605,236.7566429,310.6277605,892.9716586
310.9988099,249.796248,310.9988099,837.47556,310.9988099,233.6607266,310.9988099,895.3429792
311.3698288,241.9091075,311.3698288,830.04708,311.3698288,227.2034116,311.3698288,875.8403281
311.7408174,249.5433251,311.7408174,830.32311,311.7408174,233.8851547,311.7408174,883.9303972
312.1117756,254.7927228,312.1117756,836.27359,312.1117756,237.2290199,312.1117756,890.5898273
312.4827033,266.007018,312.4827033,835.62429,312.4827033,237.485368,312.4827033,891.6017498
312.8536006,272.9380138,312.8536006,835.69545,312.8536006,235.8385686,312.8536006,895.9387786
313.2244675,262.6873659,313.2244675,848.45973,313.2244675,241.3108728,313.2244675,897.8051634
313.5953038,254.5914829,313.5953038,843.9697,313.5953038,249.6522842,313.5953038,902.0767986
313.9661097,253.6367285,313.9661097,838.2792,313.9661097,249.6504395,313.9661097,906.3312821
314.3368851,251.5007815,314.3368851,850.85824,314.3368851,261.3313439,314.3368851,903.0449542
314.7076299,251.7458368,314.7076299,856.56453,314.7076299,262.7677012,314.7076299,907.0926949
315.0783442,256.2627879,315.0783442,849.90284,315.0783442,267.5219381,315.0783442,897.1182353
315.449028,257.4602134,315.449028,859.39633,315.449028,258.7148379,315.449028,902.1108119
315.8196812,250.5478477,315.8196812,850.14772,315.8196812,251.8025419,315.8196812,894.2858132
316.1903037,257.4652873,316.1903037,850.41272,316.1903037,253.7171275,316.1903037,902.8380231
316.5608957,244.3354939,316.5608957,840.1403,316.5608957,248.9253293,316.5608957,882.8590618
316.931457,231.4507246,316.931457,831.30974,316.931457,247.9516981,316.931457,872.608258
317.3019877,249.3394727,317.3019877,822.616,317.3019877,252.4998253,317.3019877,879.7853809
317.6724877,259.3321448,317.6724877,828.97453,317.6724877,238.9095288,317.6724877,868.854893
318.0429571,257.8954098,318.0429571,836.76702,318.0429571,233.4230601,318.0429571,855.5704488
318.4133957,259.0996916,318.4133957,844.15068,318.4133957,233.4351322,318.4133957,853.718365
318.7838037,258.8640458,318.7838037,844.63233,318.7838037,239.1554195,318.7838037,855.384124
319.1541808,259.8270472,319.1541808,853.19032,319.1541808,235.1144832,319.1541808,861.8104023
319.5245273,266.7346569,319.5245273,843.95374,319.5245273,251.7913797,319.5245273,868.2039699
319.894843,266.9695591,319.894843,836.36451,319.894843,254.408647,319.894843,866.0626008
320.2651279,252.6571125,320.2651279,818.53459,320.2651279,250.1004297,320.2651279,854.3925003
320.635382,268.6473876,320.635382,834.26433,320.635382,256.3244194,320.635382,884.5642899
321.0056052,269.8489377,321.0056052,844.48135,321.0056052,263.9574512,321.0056052,891.2270257
321.3757977,265.5574455,321.3757977,852.28532,321.3757977,265.8591651,321.3757977,897.1330396
321.7459593,270.0931141,321.7459593,864.15721,321.7459593,271.1094192,321.7459593,901.4261258
322.11609,268.4151442,322.11609,858.20408,322.11609,279.6730714,322.11609,907.3101732
322.4861898,264.8285063,322.4861898,850.34637,322.4861898,269.4175101,322.4861898,920.2832489
322.8562587,257.4437335,322.8562587,845.3708,322.8562587,263.4622311,322.8562587,920.5177589
323.2262967,260.3098557,323.2262967,852.26315,323.2262967,273.7120244,323.2262967,921.7271463
323.5963038,253.1490718,323.5963038,842.26992,323.5963038,257.9766846,323.5963038,916.2338212
323.9662799,260.788193,323.9662799,859.37398,323.9662799,265.8539309,323.9662799,923.3903991
324.336225,263.165053,324.336225,870.72421,324.336225,259.8937654,324.336225,922.4263273
324.7061392,251.9598728,324.7061392,865.48408,324.7061392,263.6952342,324.7061392,914.1101475
325.0760223,249.5611144,325.0760223,864.00827,325.0760223,257.0087168,325.0760223,909.5552763
325.4458744,233.5862737,325.4458744,855.19859,325.4458744,251.9917925,325.4458744,904.5338315
325.8156955,228.3512571,325.8156955,841.95948,325.8156955,253.665933,325.8156955,915.9174741
326.1854855,235.7552726,326.1854855,851.96996,326.1854855,249.8745197,326.1854855,914.0929449
326.5552444,232.4082725,326.5552444,848.37755,326.5552444,256.2935224,326.5552444,898.6653131
326.9249722,233.3549337,326.9249722,844.32968,326.9249722,254.381119,326.9249722,890.1205859
327.2946689,220.47244,327.2946689,835.50588,327.2946689,241.9761931,327.2946689,881.7708347
327.6643345,224.3014926,327.6643345,847.40828,327.6643345,245.5678184,327.6643345,879.2310483
328.033969,214.7590144,328.033969,831.26066,328.033969,235.7880482,328.033969,869.4791563
328.4035722,222.1642496,328.4035722,828.25023,328.4035722,242.002374,328.4035722,870.4979373
328.7731443,222.6407927,328.7731443,829.43453,328.7731443,238.1907149,328.7731443,858.4221124
329.1426852,227.4273976,329.1426852,838.03639,329.1426852,243.4544843,329.1426852,866.0769129
329.5121949,229.8050827,329.5121949,832.57074,329.5121949,232.4895592,329.5121949,855.8759371
329.8816734,230.5187548,329.8816734,843.22525,329.8816734,234.6327543,329.8816734,842.6094618
330.2511206,230.9913035,330.2511206,829.47376,330.2511206,231.7696239,330.2511206,844.4902261
330.6205365,238.1447794,330.6205365,827.36149,330.6205365,231.5370697,330.6205365,841.9048985
330.9899211,240.5296285,330.9899211,825.00048,330.9899211,237.4958995,330.9899211,840.4917557
